Removed Pin From Net: NetName=+5 Pin=C7-1
Removed Pin From Net: NetName=GND Pin=C7-2
Removed Pin From Net: NetName=+12 Pin=C8-1
Removed Pin From Net: NetName=GND Pin=C8-2
Removed Pin From Net: NetName=+3.3 Pin=C9-1
Removed Pin From Net: NetName=GND Pin=C9-2
Removed Pin From Net: NetName=+12 Pin=C10-1
Removed Pin From Net: NetName=GND Pin=C10-2
Removed Pin From Net: NetName=GND Pin=U4-1
Removed Pin From Net: NetName=+12 Pin=U4-3
Removed Pin From Net: NetName=+12 Pin=U5-3
Removed Member From Class: ClassName=C9_Nets Member=+3.3
Removed Member From Class: ClassName=C7_Nets Member=+5
Removed Member From Class: ClassName=C8_Nets Member=+12
Removed Member From Class: ClassName=C10_Nets Member=+12
Removed Member From Class: ClassName=U5_Nets Member=+12
Removed Member From Class: ClassName=C7_Nets Member=GND
Removed Member From Class: ClassName=C8_Nets Member=GND
Removed Member From Class: ClassName=C9_Nets Member=GND
Removed Member From Class: ClassName=C10_Nets Member=GND
Removed Member From Class: ClassName=U4_Nets Member=GND
Removed Member From Class: ClassName=U5_Nets Member=GND
Change Component Footprint: Designator=C7 Old Footprint=KEMET_4 New Footprint=C0805
Change Component Footprint: Designator=C9 Old Footprint=KEMET_4 New Footprint=Kemet_63
Change Component Footprint: Designator=U4 Old Footprint=SOT223 New Footprint=SOIC8
Change Component Footprint: Designator=U5 Old Footprint=TO252 New Footprint=SOT223
Change Component Comment : Designator=C7 Old Comment=10uF New Comment=10nF
Change Component Comment : Designator=C9 Old Comment=10uF New Comment=100uF
Change Component Comment : Designator=U4 Old Comment=LM1117DT-5.0 New Comment=LM2675M-5.0
Change Component Comment : Designator=U5 Old Comment=LM1117 3.3 New Comment=LM1117 ADJ
Change Component Designator: OldDesignator=C8 NewDesignator=C9
Change Component Designator: OldDesignator=C9 NewDesignator=C10
Change Component Designator: OldDesignator=C10 NewDesignator=C8
Change Component Kind : Designator=C8 Old Kind=Standard New Kind=Standard (No BOM)
Change component parameters: Designator = "C9"; Footprint = "KEMET_4"; UniqueID = "\WFIIRMXI\OUNOEJJO"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Capacité"; Value = "10"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "http://www.farnell.com/datasheets/1500293.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.farnell.com/datasheets/1500293.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Diamètre"; Value = "4"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Durée de vie @ température"; Value = "3000 heures @ 105"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Hauteur"; Value = "5.4"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "KEMET"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "EXV106M016A9BAA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MSL"; Value = "MSL 1 - Illimité"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "10000=0,058 (EUR)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Product Range"; Value = "KEMET - EXV Series"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "YES"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Farnell"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "2069163"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SVHC"; Value = "No SVHC (18-Jun-2012)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Température de fonctionnement"; Value = "-40°C à +105"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Température de fonctionnement max.."; Value = "105"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Température d'utilisation min"; Value = "-40"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tension"; Value = "16"; VariantName = "[No Variations]"
